timestamp,open,high,low,close,volume
2018-05-25 16:00:00,98.2700,98.4400,98.2650,98.3600,2466507
2018-05-25 15:59:00,98.2600,98.2700,98.2300,98.2600,195341
2018-05-25 15:58:00,98.2600,98.2800,98.2500,98.2500,104598
2018-05-25 15:57:00,98.2699,98.2800,98.2500,98.2650,124651
2018-05-25 15:56:00,98.3100,98.3100,98.2600,98.2600,102523
2018-05-25 15:55:00,98.3050,98.3100,98.2900,98.3050,102468
2018-05-25 15:54:00,98.3200,98.3400,98.2900,98.3000,118514
2018-05-25 15:53:00,98.3300,98.3400,98.3100,98.3250,69992
2018-05-25 15:52:00,98.3900,98.4000,98.3200,98.3300,126575
2018-05-25 15:51:00,98.4050,98.4500,98.3400,98.3800,198067
2018-05-25 15:50:00,98.2900,98.4400,98.2100,98.3700,170213
2018-05-25 15:49:00,98.3150,98.3200,98.2800,98.3000,54274
2018-05-25 15:48:00,98.3300,98.3300,98.3100,98.3100,16219
2018-05-25 15:47:00,98.3000,98.3450,98.2950,98.3250,36077
2018-05-25 15:46:00,98.2700,98.3200,98.2600,98.3000,56359
2018-05-25 15:45:00,98.2861,98.2899,98.2500,98.2700,88446
2018-05-25 15:44:00,98.2750,98.2900,98.2500,98.2850,45269
2018-05-25 15:43:00,98.2739,98.3050,98.2650,98.2800,32447
2018-05-25 15:42:00,98.3400,98.3400,98.2600,98.2700,25442
2018-05-25 15:41:00,98.3200,98.3450,98.2700,98.3350,58015
2018-05-25 15:40:00,98.3700,98.3750,98.3200,98.3200,28121
2018-05-25 15:39:00,98.4000,98.4000,98.3500,98.3750,16565
2018-05-25 15:38:00,98.4000,98.4400,98.3900,98.3900,25216
2018-05-25 15:37:00,98.4000,98.4200,98.3900,98.4050,36790
2018-05-25 15:36:00,98.3900,98.4000,98.3700,98.3950,19488
2018-05-25 15:35:00,98.3600,98.4000,98.3400,98.4000,26162
2018-05-25 15:34:00,98.4100,98.4100,98.3500,98.3658,36673
2018-05-25 15:33:00,98.4000,98.4300,98.3800,98.4000,20979
2018-05-25 15:32:00,98.3900,98.4000,98.3600,98.4000,24767
2018-05-25 15:31:00,98.4269,98.4269,98.3800,98.3900,46310
2018-05-25 15:30:00,98.3400,98.4600,98.3400,98.4300,75391
2018-05-25 15:29:00,98.3450,98.3500,98.3300,98.3500,17930
2018-05-25 15:28:00,98.3550,98.3700,98.3400,98.3468,15539
2018-05-25 15:27:00,98.3100,98.3500,98.2950,98.3500,40482
2018-05-25 15:26:00,98.3000,98.3200,98.3000,98.3000,25054
2018-05-25 15:25:00,98.3150,98.3200,98.3000,98.3000,23316
2018-05-25 15:24:00,98.3750,98.3751,98.3100,98.3150,19943
2018-05-25 15:23:00,98.3800,98.3900,98.3700,98.3700,27951
2018-05-25 15:22:00,98.3848,98.3950,98.3600,98.3800,27357
2018-05-25 15:21:00,98.3950,98.4000,98.3800,98.3800,15439
2018-05-25 15:20:00,98.3850,98.3900,98.3300,98.3900,62685
2018-05-25 15:19:00,98.3700,98.4200,98.3650,98.3808,33173
2018-05-25 15:18:00,98.3550,98.3799,98.3200,98.3700,27714
2018-05-25 15:17:00,98.3999,98.4000,98.3500,98.3565,27756
2018-05-25 15:16:00,98.3600,98.4300,98.3500,98.3900,59373
2018-05-25 15:15:00,98.3500,98.3800,98.3200,98.3600,41349
2018-05-25 15:14:00,98.3150,98.3600,98.3100,98.3600,13539
2018-05-25 15:13:00,98.3500,98.3600,98.2950,98.3150,33834
2018-05-25 15:12:00,98.3800,98.4000,98.3500,98.3500,32132
2018-05-25 15:11:00,98.3400,98.3800,98.3250,98.3800,29625
2018-05-25 15:10:00,98.3700,98.3700,98.3300,98.3310,32480
2018-05-25 15:09:00,98.3700,98.3800,98.3500,98.3650,13796
2018-05-25 15:08:00,98.3300,98.3799,98.3104,98.3700,32227
2018-05-25 15:07:00,98.3250,98.3500,98.3200,98.3372,12565
2018-05-25 15:06:00,98.3000,98.3400,98.2900,98.3300,24782
2018-05-25 15:05:00,98.3350,98.3350,98.2800,98.3100,37668
2018-05-25 15:04:00,98.3349,98.3600,98.3000,98.3350,27121
2018-05-25 15:03:00,98.3001,98.3500,98.3001,98.3350,15701
2018-05-25 15:02:00,98.2700,98.3500,98.2600,98.3050,35148
2018-05-25 15:01:00,98.3250,98.3250,98.2600,98.2661,33642
2018-05-25 15:00:00,98.3600,98.3700,98.3100,98.3200,23535
2018-05-25 14:59:00,98.3600,98.3700,98.3350,98.3600,18191
2018-05-25 14:58:00,98.3251,98.3600,98.3000,98.3600,29743
2018-05-25 14:57:00,98.3500,98.3700,98.3200,98.3200,17152
2018-05-25 14:56:00,98.3600,98.3650,98.3150,98.3500,21379
2018-05-25 14:55:00,98.3300,98.3652,98.2900,98.3652,39927
2018-05-25 14:54:00,98.3701,98.3800,98.3203,98.3203,16360
2018-05-25 14:53:00,98.4000,98.4016,98.3700,98.3800,21350
2018-05-25 14:52:00,98.3900,98.4000,98.3800,98.3950,37022
2018-05-25 14:51:00,98.3550,98.3900,98.3500,98.3900,39038
2018-05-25 14:50:00,98.3850,98.3900,98.3500,98.3500,14832
2018-05-25 14:49:00,98.3950,98.4200,98.3700,98.3800,19710
2018-05-25 14:48:00,98.4000,98.4300,98.3900,98.3900,28782
2018-05-25 14:47:00,98.3540,98.4000,98.3500,98.4000,29148
2018-05-25 14:46:00,98.3900,98.4000,98.3400,98.3600,26550
2018-05-25 14:45:00,98.3400,98.4000,98.3400,98.4000,38116
2018-05-25 14:44:00,98.3800,98.3800,98.3200,98.3400,51276
2018-05-25 14:43:00,98.4250,98.4250,98.3700,98.3800,21526
2018-05-25 14:42:00,98.4500,98.4500,98.4050,98.4300,32850
2018-05-25 14:41:00,98.4600,98.4600,98.3900,98.4400,35875
2018-05-25 14:40:00,98.5250,98.5250,98.4500,98.4600,14109
2018-05-25 14:39:00,98.5300,98.5350,98.5100,98.5200,24156
2018-05-25 14:38:00,98.5300,98.5500,98.5250,98.5350,11823
2018-05-25 14:37:00,98.5650,98.5650,98.5150,98.5400,13249
2018-05-25 14:36:00,98.5400,98.5600,98.5250,98.5600,8929
2018-05-25 14:35:00,98.5397,98.5700,98.5300,98.5300,22446
2018-05-25 14:34:00,98.5400,98.5500,98.5100,98.5500,45472
2018-05-25 14:33:00,98.5500,98.5500,98.5000,98.5350,18119
2018-05-25 14:32:00,98.5700,98.5770,98.5400,98.5500,47853
2018-05-25 14:31:00,98.5900,98.5968,98.5700,98.5700,15579
2018-05-25 14:30:00,98.5900,98.5900,98.5800,98.5800,10661
2018-05-25 14:29:00,98.5700,98.5900,98.5600,98.5800,26144
2018-05-25 14:28:00,98.5400,98.5700,98.5150,98.5661,12692
2018-05-25 14:27:00,98.5661,98.5661,98.5300,98.5300,6141
2018-05-25 14:26:00,98.5400,98.5700,98.5350,98.5600,11751
2018-05-25 14:25:00,98.5800,98.5800,98.5249,98.5400,19556
2018-05-25 14:24:00,98.5500,98.5868,98.5500,98.5850,16145
2018-05-25 14:23:00,98.5300,98.5566,98.5300,98.5533,16684
2018-05-25 14:22:00,98.5600,98.5685,98.4700,98.5400,55509
2018-05-25 14:21:00,98.4900,98.5900,98.4900,98.5700,31575
